source_slug,source_l3_scenario_id,skill_id,source_l2_scenario_id,farming_group,task_type,l2_biological_yield_kg,l2_recovered_yield_kg,l2_donothing_biological_yield_kg,l3_biological_yield_kg,l3_recovered_yield_kg,l2_vs_l3_bio_delta_pct,l2_vs_l3_recovered_delta_pct,skill_oracle_events_empty,non_dict_oracle_event_entries,card_missing_flow_major_actions,flow_major_actions_not_in_card,card_major_actions,flow_major_actions
hb_coldspring_planting_window_heihe50,scenario_full_season_hb_coldspring_planting_window_heihe50,heihe50_coldspring_planting_window,scenario_l2_hb_coldspring_heihe50_planting_window,establishment,planting_window,5795.74,0.0,0.0,5801.38,5293.55,-0.097,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_coldspring_planting_window_heihe50,scenario_full_season_hb_coldspring_planting_window_heihe50,heihe50_coldspring_emergence_scouting,scenario_l2_hb_coldspring_heihe50_cold_emergence_scouting,management,management_scouting,5795.74,0.0,5795.74,5801.38,5293.55,-0.097,-100.0,False,0,,,{},{}
hb_coldspring_planting_window_heihe50,scenario_full_season_hb_coldspring_planting_window_heihe50,heihe50_coldspring_harvest_drydown_store,scenario_l2_hb_coldspring_heihe50_harvest_drydown_store,harvest,harvest_postharvest,5795.74,5226.0,5795.74,5801.38,5293.55,-0.097,-1.276,False,0,,,"{""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_disease_then_drought_recovery_tradeoff,scenario_full_season_hb_disease_then_drought_recovery_tradeoff,establishment_planting,scenario_l2_hb_disease_drought_establishment_planting,establishment,planting,8454.53,0.0,0.0,8881.18,8037.54,-4.804,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_disease_then_drought_recovery_tradeoff,scenario_full_season_hb_disease_then_drought_recovery_tradeoff,mid_fungicide_20_43,scenario_l2_hb_disease_drought_mid_fungicide_20_43,management,fungicide,8871.39,0.0,8454.53,8881.18,8037.54,-0.11,-100.0,False,0,,,{},{}
hb_disease_then_drought_recovery_tradeoff,scenario_full_season_hb_disease_then_drought_recovery_tradeoff,r5_irrigation_20_43,scenario_l2_hb_disease_drought_r5_irrigation_20_43,management,irrigation,8870.38,0.0,8871.39,8881.18,8037.54,-0.122,-100.0,False,0,,,"{""irrigate"": 1}","{""irrigate"": 1}"
hb_disease_then_drought_recovery_tradeoff,scenario_full_season_hb_disease_then_drought_recovery_tradeoff,harvest_window,scenario_l2_hb_disease_drought_harvest_window,harvest,harvest_postharvest,8870.38,8028.25,8870.38,8881.18,8037.54,-0.122,-0.116,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_fertilizer_quota_edge_lowfertility,scenario_full_season_hb_fertilizer_quota_edge_lowfertility,severe_edge_nutrient_recovery,scenario_l2_hb_fertilizer_quota_severe_edge_nutrient_recovery,management,fertigation,8564.53,0.0,8495.2,8602.17,7923.32,-0.438,-100.0,False,0,,,"{""apply_fertigation"": 1}","{""apply_fertigation"": 1}"
hb_fertilizer_quota_edge_lowfertility,scenario_full_season_hb_fertilizer_quota_edge_lowfertility,severe_edge_gap_replant,scenario_l2_hb_fertilizer_quota_severe_edge_gap_replant,management,replant,8577.47,0.0,8564.53,8602.17,7923.32,-0.287,-100.0,False,0,,,"{""replant_seeds"": 1}","{""replant_seeds"": 1}"
hb_fertilizer_quota_edge_lowfertility,scenario_full_season_hb_fertilizer_quota_edge_lowfertility,mild_edge_quota_topup,scenario_l2_hb_fertilizer_quota_mild_edge_topup,management,fertigation,8602.17,0.0,8577.47,8602.17,7923.32,0.0,-100.0,False,0,,,"{""apply_fertigation"": 1}","{""apply_fertigation"": 1}"
