# Selected FARM L2/L1 benchmark scenarios.
# Format: level,metric_type,scenario_id,source_path
# metric_type=growth validates oracle biological yield against do-nothing biological yield.
# metric_type=harvest validates oracle recovered yield against do-nothing recovered yield.
L2,growth,scenario_l2_hb_coldspring_heihe50_planting_window,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_coldspring_planting_window_heihe50/scenario_l2_heihe50_planting_window.py
L2,growth,scenario_l2_hb_heihe43_recommended_density_planting,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heihe43_early_density_weed_nutrient_recovery/scenario_l2_heihe43_recommended_density_planting.py
L2,harvest,scenario_l2_hb_coldspring_heihe50_harvest_drydown_store,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_coldspring_planting_window_heihe50/scenario_l2_heihe50_harvest_drydown_store.py
L2,growth,scenario_l2_hb_replant_crusting_replant_decision,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_replant_after_crusting_short_season/scenario_l2_crusting_replant_decision.py
L2,growth,scenario_l2_hb_wetcold_high_residue_replant_recovery,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_wetcold_high_residue_establishment/scenario_l2_wetcold_replant_recovery.py
L2,growth,scenario_l2_hb_skip_rows_emergence_replant_12_15,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_planter_skip_rows_stand_gap/scenario_l2_hb_skip_rows_emergence_replant_12_15.py
L2,growth,scenario_l2_hb_fertilizer_quota_severe_edge_nutrient_recovery,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_fertilizer_quota_edge_lowfertility/scenario_l2_severe_edge_nutrient_recovery.py
L2,growth,scenario_l2_hb_heihe43_early_weed_control,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heihe43_early_density_weed_nutrient_recovery/scenario_l2_heihe43_weed_control.py
L2,growth,scenario_l2_hb_heihe43_nutrient_recovery,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heihe43_early_density_weed_nutrient_recovery/scenario_l2_heihe43_nutrient_recovery.py
L2,growth,scenario_l2_hb_disease_drought_mid_fungicide_20_43,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_disease_then_drought_recovery_tradeoff/scenario_l2_hb_disease_drought_mid_fungicide_20_43.py
L2,growth,scenario_l2_hb_hn58_dual_stress_r5_irrigation_8_23,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heinong58_water_chemical_priority_under_dual_stress/scenario_l2_hb_hn58_dual_stress_r5_irrigation_8_23.py
L2,harvest,scenario_l2_hb_disease_drought_harvest_window,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_disease_then_drought_recovery_tradeoff/scenario_l2_hb_disease_drought_harvest_window.py
L2,growth,scenario_l2_hb_hn58_dual_stress_r5_fungicide_40_55,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heinong58_water_chemical_priority_under_dual_stress/scenario_l2_hb_hn58_dual_stress_r5_fungicide_40_55.py
L2,harvest,scenario_l2_hb_hn58_dual_stress_harvest_window,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heinong58_water_chemical_priority_under_dual_stress/scenario_l2_hb_hn58_dual_stress_harvest_window.py
L2,growth,scenario_l2_hb_hn60_water_budget_emergence_fertigation_8_19,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heinong60_highdensity_fertigation_irrigation_water_budget/scenario_l2_hb_hn60_water_budget_emergence_fertigation_8_19.py
L2,harvest,scenario_l2_hb_hn60_water_budget_harvest_window,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_heinong60_highdensity_fertigation_irrigation_water_budget/scenario_l2_hb_hn60_water_budget_harvest_window.py
L2,growth,scenario_l2_hb_weed_seedbank_emergence_mechanical_weed_0_63,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_high_weed_seedbank_mechanical_only_baseline/scenario_l2_hb_weed_seedbank_emergence_mechanical_weed_0_63.py
L2,growth,scenario_l2_hb_insect_budget_r5_manual_control,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_insect_after_fungicide_budget_conflict/scenario_l2_r5_insect_budget_manual_control.py
L2,harvest,scenario_l2_hb_potassium_dry_harvest_window,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_potassium_deficit_dry_podfill_interaction/scenario_l2_hb_potassium_dry_harvest_window.py
L2,harvest,scenario_l2_three_cultivar_zone_harvest_sequence,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_three_cultivar_wet_disease_dry_harvest_sequence/scenario_l2_three_cultivar_zone_harvest_sequence.py
L1,growth,scenario_l1_hb_coldspring_heihe50_planting_execution,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_coldspring_planting_window_heihe50/scenario_l1_heihe50_planting_execution.py
L1,harvest,scenario_l1_hb_coldspring_heihe50_harvest_store_ready,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_coldspring_planting_window_heihe50/scenario_l1_heihe50_harvest_store_ready.py
L1,growth,scenario_l1_hb_wetcold_high_residue_planting_execution,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_wetcold_high_residue_establishment/scenario_l1_wetcold_planting_execution.py
L1,growth,scenario_l1_hb_wetcold_high_residue_replant_action_ready,fairy/scenarios/farm_world_fullseason_v2/l2_l1_splits/hb_wetcold_high_residue_establishment/scenario_l1_wetcold_replant_action_ready.py
